length_small,period_exp_small,period_theory_SA_small,period_theory_VV_small,length_big,period_exp_big,period_theory_SA_big,period_theory_VV_big
0.6824,1.64,1.6571616478596627,1.660333333332992,0.6824,1.77,1.6571616478596627,1.778555555555236
0.7774,1.75,1.768754805575213,1.7722222222218946,0.7774,1.9,1.768754805575213,1.898333333333164
0.9524,1.9600000000000002,1.957740197153458,1.9615555555554656,0.9524,2.1100000000000003,1.957740197153458,2.1011111111111966
0.2474,1.01,0.9978039349957332,0.9998888888889237,0.2474,1.0699999999999998,0.9978039349957332,1.0709999999999944
0.3574,1.23,1.1992856543431538,1.2016666666665865,0.3574,1.28,1.1992856543431538,1.2872222222220935
0.4074,1.3,1.280430106287008,1.2829999999998736,0.4074,1.3900000000000001,1.280430106287008,1.374222222222044
0.4624,1.3599999999999999,1.3641253428832403,1.3668888888887145,0.4624,1.47,1.3641253428832403,1.4641111111108815
0.5624,1.5,1.5044162668098418,1.5074444444441903,0.5624,1.6600000000000001,1.5044162668098418,1.6146666666663512
0.6174,1.56,1.5762629849908358,1.579444444444149,0.6174,1.7100000000000002,1.5762629849908358,1.6917777777774186
0.1574,0.79,0.7958802518104091,0.7974444444445331,0.1574,0.85,0.7958802518104091,0.8542222222223304
