DataPtNum,Frequency,Vin(FuncGen),Vout(LoPass),Vout(HiPass),phase,LoPassGain (|Vout/Vin|),HiPassGain (|Vout/Vi|)
1,40,2.5,2.22,0.017,-171,0.888,0.007
2,45,2.62,2.38,0.018,-160,0.908,0.007
3,50,2.4,2.14,0.019,-151,0.892,0.008
4,55,2.12,1.86,0.02,148,0.877,0.009
5,60,1.86,1.6,0.02,-95,0.860,0.011
6,65,1.66,1.44,0.021,-78.7,0.867,0.013
7,70,1.52,1.3,0.021,-90,0.855,0.014
8,75,1.42,1.2,0.021,-71,0.845,0.015
9,80,1.34,1.1,0.021,-63,0.821,0.016
10,85,1.3,1.06,0.02,-80,0.815,0.015
11,90,1.28,1,0.02,-81.8,0.781,0.016
12,95,1.22,0.98,0.019,-114,0.803,0.016
13,100,1.19,0.89,0.018,154,0.748,0.015
14,150,1.1,0.79,0.017,152,0.718,0.015
15,200,1.11,0.776,0.015,172,0.699,0.014
16,250,1.14,0.776,0.014,80,0.681,0.012
17,300,1.17,0.8,0.017,87,0.684,0.015
18,350,1.21,0.824,0.021,147,0.681,0.017
19,400,1.26,0.856,0.03,-151,0.679,0.024
20,450,1.3,0.88,0.038,-155,0.677,0.029
21,500,1.35,0.904,0.05,-153,0.670,0.037
22,550,1.4,0.936,0.063,-150,0.669,0.045
23,600,1.46,0.984,0.077,-168,0.674,0.053
24,650,1.52,1.02,0.095,-157.5,0.671,0.063
25,700,1.62,1.08,0.112,-135,0.667,0.069
26,750,1.64,1.1,0.13,-147,0.671,0.079
27,800,1.66,1.09,0.144,-157,0.657,0.087
28,850,1.66,1.09,0.166,-150,0.657,0.100
29,900,1.7,1.09,0.188,-135,0.641,0.111
30,950,1.74,1.12,0.216,-159,0.644,0.124
31,1000,1.76,1.14,0.248,-151.2,0.648,0.141
32,1500,1.38,0.856,0.592,-99.4,0.620,0.429
33,2000,1.4,0.952,0.56,-61.2,0.680,0.400
34,2500,1.32,0.888,0.536,-58.5,0.673,0.406
35,3000,1.32,0.744,0.616,-60,0.564,0.467
36,3500,1.28,0.536,0.68,-57.8,0.419,0.531
37,4000,1.22,0.376,0.696,-50.4,0.308,0.570
38,4500,1.16,0.256,0.696,-40.9,0.221,0.600
39,5000,1.1,0.184,0.688,40.8,0.167,0.625
40,5500,1.04,0.128,0.68,-40.8,0.123,0.654
41,6000,0.98,0.096,0.68,-38,0.098,0.694
42,6500,0.98,0.076,0.68,-36.4,0.078,0.694
43,7000,0.98,0.06,0.688,-34.1,0.061,0.702
44,7500,0.98,0.052,0.688,-32.5,0.053,0.702
45,8000,0.96,0.048,0.696,-33.3,0.050,0.725
46,8500,0.94,0.04,0.696,-26.1,0.043,0.740
47,9000,0.94,0.032,0.704,-21.1,0.034,0.749
48,9500,0.96,0.024,0.712,-25.3,0.025,0.742
49,10000,0.98,0.02,0.72,-19.4,0.020,0.735
