Angle of Incidence (deg), Angle of Reflection (deg), Peak Signal Reading, Notes
20,26,0.82, 
30,30,0.84, 
40,45,0.96, 
45,45,1.00, Calibration point
50,53,0.96, 
60,,, no coclusive results
70,,, no coclusive results
80,,, no coclusive results
