Angle (degrees), Signal reading (mA)
0,1.00
5,0.99
10,0.95
15,0.88
20,0.80
25,0.70
30,0.58
35,0.41
40,0.30
45,0.21
50,0.12
55,0.08
60,0.04
65,0.01
70,0.00
75,0.00
80,0.00
85,0.00
90,0.00
95,0.00
100,0.00
105,0.00
110,0.00
115,0.00
120,0.02
125,0.04
130,0.06
135,0.11
140,0.19
145,0.29
150,0.42
155,0.59
160,0.71
165,0.82
170,0.91
175,0.98
180,1.00
