Position (cm), Distance Moved (mm), Signal Reading (units)
85.0, 0, 1.00
85.2, 2, 0.72
85.4, 4, 0.50
85.6, 6, 0.41
85.8, 8, 0.40
86.0, 10, 0.46
86.2, 12, 0.68
86.4, 14, 0.92
86.6, 16, 0.70
86.8, 18, 0.50
87.0, 20, 0.40
87.2, 22, 0.40
87.4, 24, 0.48
87.6, 26, 0.61
87.8, 28, 0.84
88.0, 30, 0.72
88.2, 32, 0.47
88.4, 34, 0.39
88.6, 36, 0.37
88.8, 38, 0.42
89.0, 40, 0.55
89.2, 42, 0.76
89.4, 44, 0.70
89.6, 46, 0.50
