mass_g,frequency_Hz,Vpp,angle
0,40.4,1.23,10
5,37.7,0.549,4
10,35.7,0.536,4
15,33.7,0.528,4
20,32.3,0.524,4
25,31.0,0.520,4
30,29.7,0.512,4
