mass_g,frequency_Hz,Vpp,amp
0,87.0,1.10,10
5,81.7,0.242,2
10,77.0,0.276,2
15,72.2,0.268,2
20,68.7,0.258,2
25,65.7,0.252,2
30,63.7,0.234,2
