trial,starting_angle,time,length(m),oscillations
1,10,16.4,0.6824,10
2,20,16.6,0.6824,10
3,25,16.5,0.6824,10
4,30,16.8,0.6824,10
5,40,17.1,0.6824,10
6,50,17.2,0.6824,10
7,55,17.5,0.6824,10
8,60,17.6,0.6824,10
9,70,18.4,0.6824,10
10,80,18.9,0.6824,10
