n,time_s,voltage_V,ln_abs_V
0.0,0.0016,-0.276,-1.29
0.5,0.0195,0.184,-1.69
1.0,0.0272,-0.164,-1.81
1.5,0.0400,0.108,-2.23
2.0,0.0527,-0.046,-2.34
2.5,0.0654,0.060,-2.81
3.0,0.0781,-0.058,-2.88
3.5,0.0908,0.036,-3.32
4.0,0.1030,-0.032,-3.44
