mass_g,frequency_Hz,Vpp,amp
0,84.1,1.15,10
5,79.1,0.290,2
10,73.1,0.232,2
15,69.1,0.220,2
20,66.4,0.220,2
25,64.0,0.218,2
30,61.4,0.208,2
